code,description,chapter,phecode,rank
12.93,Removal or destruction of epithelial downgrowth from anterior chamber,,,5
12.97,Other operations on iris,,,1
12.98,Other operations on ciliary body,,,6
12.99,Other operations on anterior chamber,,,143
120,Schistosomiasis [bilharziasis],AB,134,5
120.0,Schistosomiasis due to schistosoma haematobium,AB,134,21
120.1,Schistosomiasis due to schistosoma mansoni,AB,134,18
120.2,Schistosomiasis due to schistosoma japonicum,AB,134,10
120.3,Cutaneous schistosomiasis,AB,134,5
120.8,Other specified schistosomiasis,AB,134,8
120.9,"Schistosomiasis, unspecified",AB,134,70
121,Other trematode infections,AB,134,
121.0,Opisthorchiasis,AB,134,3
121.1,Clonorchiasis,AB,134,16
121.2,Paragonimiasis,AB,134,18
121.3,Fascioliasis,AB,134,16
121.4,Fasciolopsiasis,AB,134,
121.5,Metagonimiasis,AB,134,4
121.6,Heterophyiasis,AB,134,1
121.8,Other specified trematode infections,AB,134,1
121.9,"Trematode infection, unspecified",AB,134,49
122,Echinococcosis,AB,134.1,1
122.0,Echinococcus granulosus infection of liver,AB,134.1,28
122.1,Echinococcus granulosus infection of lung,AB,134.1,41
122.2,Echinococcus granulosus infection of thyroid,AB,134.1,11
122.3,"Echinococcus granulosus infection, other",AB,134.1,7
122.4,"Echinococcus granulosus infection, unspecified",AB,134.1,1
122.5,Echinococcus multilocularis infection of liver,AB,134.1,6
122.6,"Echinococcus multilocularis infection, other",AB,134.1,4
122.7,"Echinococcus multilocularis infection, unspecified",AB,134.1,2
122.8,"Echinococcosis, unspecified, of liver",AB,134.1,28
122.9,"Echinococcosis, other and unspecified",AB,134.1,108
123,Other cestode infection,AB,134.1,109
123.0,"Taenia solium infection, intestinal form",AB,134.1,7
123.1,Cysticercosis,AB,134.1,288
123.2,Taenia saginata infection,AB,134.1,
123.3,"Taeniasis, unspecified",AB,134.1,30
123.4,"Diphyllobothriasis, intestinal",AB,134.1,12
123.5,Sparganosis [larval diphyllobothriasis],AB,134.1,2
123.6,Hymenolepiasis,AB,134.1,10
123.8,Other specified cestode infection,AB,134.1,24
123.9,"Cestode infection, unspecified",AB,134.1,43
124,Trichinosis,AB,134.1,32
125,Filarial infection and dracontiasis,AB,134,15
125.0,Bancroftian filariasis,AB,134,17
125.1,Malayan filariasis,AB,134,8
125.2,Loiasis,AB,134,3
125.3,Onchocerciasis,AB,134,38
125.4,Dipetalonemiasis,AB,134,5
125.5,Mansonella ozzardi infection,AB,134,2
125.6,Other specified filariasis,AB,134,2
125.7,Dracontiasis,AB,134,7
125.9,Unspecified filariasis,AB,134,21
126,Ancylostomiasis and necatoriasis,AB,134,3
126.0,Ancylostomiasis due to ancylostoma duodenale,AB,134,8
126.1,Necatoriasis due to necator americanus,AB,134,1
126.2,Ancylostomiasis due to ancylostoma braziliense,AB,134,4
126.3,Ancylostomiasis due to ancylostoma ceylanicum,AB,134,1
126.8,Other specified ancylostoma,AB,134,1
126.9,"Ancylostomiasis and necatoriasis, unspecified",AB,134,135
127,Other intestinal helminthiases,AB,134.1,33
127.0,Ascariasis,AB,134.1,80
127.1,Anisakiasis,AB,134.1,17
127.2,Strongyloidiasis,AB,134.1,112
127.3,Trichuriasis,AB,134.1,8
127.4,Enterobiasis,AB,134.1,1709
127.5,Capillariasis,AB,134.1,27
127.6,Trichostrongyliasis,AB,134.1,1
127.7,Other specified intestinal helminthiasis,AB,134.1,28
127.8,Mixed intestinal helminthiasis,AB,134.1,1
127.9,"Intestinal helminthiasis, unspecified",AB,134.1,112
128,Other and unspecified helminthiases,AB,134,9
128.0,Toxocariasis,AB,134,97
128.1,Gnathostomiasis,AB,134,14
128.8,Other specified helminthiasis,AB,134,2
128.9,"Helminth infection, unspecified",AB,134,121
129,"Intestinal parasitism, unspecified",AB,134,143
13,Operations on lens,,,
13.0,Removal of foreign body from lens,,,
13.00,"Removal of foreign body from lens, not otherwise specified",,,4
13.01,Removal of foreign body from lens with use of magnet,,,2
13.02,Removal of foreign body from lens without use of magnet,,,
13.1,Intracapsular extraction of lens,,,
13.11,Intracapsular extraction of lens by temporal inferior route,,,4
13.19,Other intracapsular extraction of lens,,,431
13.2,Extracapsular extraction of lens by linear extraction technique,,,16
13.3,Extracapsular extraction of lens by simple aspiration (and irrigation) technique,,,434
13.4,Extracapsular extraction of lens by fragmentation and aspiration technique,,,
13.41,Phacoemulsification and aspiration of cataract,,,10441
13.42,Mechanical phacofragmentation and aspiration of cataract by posterior route,,,80
13.43,Mechanical phacofragmentation and other aspiration of cataract,,,384
13.5,Other extracapsular extraction of lens,,,
13.51,Extracapsular extraction of lens by temporal inferior route,,,4
13.59,Other extracapsular extraction of lens,,,1336
13.6,Other cataract extraction,,,
13.64,Discission of secondary membrane [after cataract],,,68
13.65,Excision of secondary membrane [after cataract],,,195
13.66,Mechanical fragmentation of secondary membrane [after cataract],,,6
13.69,Other cataract extraction,,,173
13.7,Insertion of prosthetic lens [pseudophakos],,,
13.70,"Insertion of pseudophakos, not otherwise specified",,,20
13.71,"Insertion of intraocular lens prosthesis at time of cataract extraction, one-stage",,,15010
13.72,Secondary insertion of intraocular lens prosthesis,,,919
13.8,Removal of implanted lens,,,535
13.9,Other operations on lens,,,83
13.90,"Operation on lens, not elsewhere classified",,,107
13.91,Implantation of intraocular telescope prosthesis,,,
130,Toxoplasmosis,AB,131,27
130.0,Meningoencephalitis due to toxoplasmosis,AB,323,729
130.1,Conjunctivitis due to toxoplasmosis,AB,369,9
130.2,Chorioretinitis due to toxoplasmosis,AB,369,891
130.3,Myocarditis due to toxoplasmosis,AB,420.1,3
130.4,Pneumonitis due to toxoplasmosis,AB,480,5
130.5,Hepatitis due to toxoplasmosis,AB,131,7
130.7,Toxoplasmosis of other specified sites,AB,131,600
130.8,Multisystemic disseminated toxoplasmosis,AB,131,63
130.9,"Toxoplasmosis, unspecified",AB,131,783
131,Trichomoniasis,AB,131,66
131.0,Urogenital trichomoniasis,AB,131,9
131.00,"Urogenital trichomoniasis, unspecified",AB,131,701
131.01,Trichomonal vulvovaginitis,AB,131,3027
131.02,Trichomonal urethritis,AB,131,38
131.03,Trichomonal prostatitis,AB,131,1
131.09,Other urogenital trichomoniasis,AB,131,239
131.8,Trichomoniasis of other specified sites,AB,131,146
131.9,"Trichomoniasis, unspecified",AB,131,1596
132,Pediculosis and phthirus infestation,AB,132.1,81
132.0,Pediculus capitis [head louse],AB,132.1,2287
132.1,Pediculus corporis [body louse],AB,132.1,54
132.2,Phthirus pubis [pubic louse],AB,132.1,86
132.3,Mixed pediculosis infestation,AB,132.1,20
132.9,"Pediculosis, unspecified",AB,132.1,234
133,Acariasis,AB,132,162
133.0,Scabies,AB,132,7322
133.8,Other acariasis,AB,132,311
133.9,"Acariasis, unspecified",AB,132,32
134,Other infestation,AB,132,2
134.0,Myiasis,AB,132,90
134.1,Other arthropod infestation,AB,132,83
134.2,Hirudiniasis,AB,136,4
134.8,Other specified infestations,AB,132,42
134.9,"Infestation, unspecified",AB,132,102
135,Sarcoidosis,AB,697,39862
136,Other and unspecified infectious and parasitic diseases,AB,136,284
136.0,Ainhum,AB,136,61
136.1,Behcet's syndrome,AB,711.3,6434
136.2,Specific infections by free-living amebae,AB,136,6
136.21,Specific infection due to acanthamoeba,AB,136,19
136.29,Other specific infections by free-living amebae,AB,136,1
136.3,Pneumocystosis,AB,480.3,4292
136.4,Psorospermiasis,AB,136,6
136.5,Sarcosporidiosis,AB,136,19
136.8,Other specified infectious and parasitic diseases,AB,136,639
136.9,Unspecified infectious and parasitic diseases,AB,136,9081
137,Late effects of tuberculosis,AB,010,116
137.0,Late effects of respiratory or unspecified tuberculosis,AB,010,168
137.1,Late effects of central nervous system tuberculosis,AB,010,7
137.2,Late effects of genitourinary tuberculosis,AB,010,5
137.3,Late effects of tuberculosis of bones and joints,AB,010,12
137.4,Late effects of tuberculosis of other specified organs,AB,010,22
138,Late effects of acute poliomyelitis,AB,324,2052
139,Late effects of other infectious and parasitic diseases,AB,136,51
139.0,Late effects of viral encephalitis,AB,323,182
139.1,Late effects of trachoma,AB,369,4
139.8,Late effects of other and unspecified infectious and parasitic diseases,AB,136,336
14,"Operations on retina, choroid, vitreous, and posterior chamber",,,
14.0,Removal of foreign body from posterior segment of eye,,,
14.00,"Removal of foreign body from posterior segment of eye, not otherwise specified",,,14
14.01,Removal of foreign body from posterior segment of eye with use of magnet,,,25
14.02,Removal of foreign body from posterior segment of eye without use of magnet,,,48
14.1,"Diagnostic procedures on retina, choroid, vitreous, and posterior chamber",,,
14.11,Diagnostic aspiration of vitreous,,,47
14.19,"Other diagnostic procedures on retina, choroid, vitreous, and posterior chamber",,,
14.2,Destruction of lesion of retina and choroid,,,
14.21,Destruction of chorioretinal lesion by diathermy,,,8
14.22,Destruction of chorioretinal lesion by cryotherapy,,,220
14.23,Destruction of chorioretinal lesion by xenon arc photocoagulation,,,1
14.24,Destruction of chorioretinal lesion by laser photocoagulation,,,3622
14.25,Destruction of chorioretinal lesion by photocoagulation of unspecified type,,,15
14.26,Destruction of chorioretinal lesion by radiation therapy,,,3
14.27,Destruction of chorioretinal lesion by implantation of radiation source,,,197
14.29,Other destruction of chorioretinal lesion,,,36
14.3,Repair of retinal tear,,,
14.31,Repair of retinal tear by diathermy,,,4
14.32,Repair of retinal tear by cryotherapy,,,104
14.33,Repair of retinal tear by xenon arc photocoagulation,,,
14.34,Repair of retinal tear by laser photocoagulation,,,129
14.35,Repair of retinal tear by photocoagulation of unspecified type,,,9
14.39,Other repair of retinal tear,,,120
14.4,Repair of retinal detachment with scleral buckling and implant,,,
14.41,Scleral buckling with implant,,,111
14.49,Other scleral buckling,,,1958
14.5,Other repair of retinal detachment,,,
14.51,Repair of retinal detachment with diathermy,,,81
14.52,Repair of retinal detachment with cryotherapy,,,318
14.53,Repair of retinal detachment with xenon arc photocoagulation,,,9
14.54,Repair of retinal detachment with laser photocoagulation,,,1532
14.55,Repair of retinal detachment with photocoagulation of unspecified type,,,90
14.59,Other repair of retinal detachment,,,1374
14.6,Removal of surgically implanted material from posterior segment of eye,,,254
14.7,Operations on vitreous,,,
14.71,"Removal of vitreous, anterior approach",,,272
14.72,Other removal of vitreous,,,200
14.73,Mechanical vitrectomy by anterior approach,,,1301
14.74,Other mechanical vitrectomy,,,10205
14.75,Injection of vitreous substitute,,,637
14.79,Other operations on vitreous,,,825
14.8,Implantation of epiretinal visual prosthesis,,,
14.81,Implantation of epiretinal visual prosthesis,,,
14.82,Removal of epiretinal visual prosthesis,,,
14.83,Revision or replacement of epiretinal visual prosthesis,,,
14.9,"Other operations on retina, choroid, and posterior chamber",,,4484
140,Malignant neoplasm of lip,CD,145.1,25
140.0,"Malignant neoplasm of upper lip, vermilion border",CD,145.1,156
140.1,"Malignant neoplasm of lower lip, vermilion border",CD,145.1,428
140.3,"Malignant neoplasm of upper lip, inner aspect",CD,145.1,77
140.4,"Malignant neoplasm of lower lip, inner aspect",CD,145.1,273
140.5,"Malignant neoplasm of lip, unspecified, inner aspect",CD,145.1,22
140.6,Malignant neoplasm of commissure of lip,CD,145.1,33
140.8,Malignant neoplasm of other sites of lip,CD,145.1,98
140.9,"Malignant neoplasm of lip, unspecified, vermilion border",CD,145.1,578
141,Malignant neoplasm of tongue,CD,145.2,455
141.0,Malignant neoplasm of base of tongue,CD,145.2,35901
141.1,Malignant neoplasm of dorsal surface of tongue,CD,145.2,1299
141.2,Malignant neoplasm of tip and lateral border of tongue,CD,145.2,3505
141.3,Malignant neoplasm of ventral surface of tongue,CD,145.2,543
141.4,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",CD,145.2,2135
141.5,Malignant neoplasm of junctional zone of tongue,CD,145.2,190
141.6,Malignant neoplasm of lingual tonsil,CD,145.2,172
141.8,Malignant neoplasm of other sites of tongue,CD,145.2,1502
141.9,"Malignant neoplasm of tongue, unspecified",CD,145.2,22281
142,Malignant neoplasm of major salivary glands,CD,145.3,445
142.0,Malignant neoplasm of parotid gland,CD,145.3,12000
142.1,Malignant neoplasm of submandibular gland,CD,145.3,1361
142.2,Malignant neoplasm of sublingual gland,CD,145.3,61
142.8,Malignant neoplasm of other major salivary glands,CD,145.3,152
142.9,"Malignant neoplasm of salivary gland, unspecified",CD,145.3,5291
143,Malignant neoplasm of gum,CD,145.4,181
143.0,Malignant neoplasm of upper gum,CD,145.4,880
143.1,Malignant neoplasm of lower gum,CD,145.4,2703
143.8,Malignant neoplasm of other sites of gum,CD,145.4,56
143.9,"Malignant neoplasm of gum, unspecified",CD,145.4,384
144,Malignant neoplasm of floor of mouth,CD,145.5,36
144.0,Malignant neoplasm of anterior portion of floor of mouth,CD,145.5,1814
144.1,Malignant neoplasm of lateral portion of floor of mouth,CD,145.5,357
144.8,Malignant neoplasm of other sites of floor of mouth,CD,145.5,405
144.9,"Malignant neoplasm of floor of mouth, part unspecified",CD,145.5,2893
145,Malignant neoplasm of other and unspecified parts of mouth,CD,145,120
145.0,Malignant neoplasm of cheek mucosa,CD,145,2637
145.1,Malignant neoplasm of vestibule of mouth,CD,145,227
145.2,Malignant neoplasm of hard palate,CD,145,1759
145.3,Malignant neoplasm of soft palate,CD,145,1259
145.4,Malignant neoplasm of uvula,CD,145,81
145.5,"Malignant neoplasm of palate, unspecified",CD,145,998
145.6,Malignant neoplasm of retromolar area,CD,145,1972
145.8,Malignant neoplasm of other specified parts of mouth,CD,145,786
145.9,"Malignant neoplasm of mouth, unspecified",CD,145,28411
146,Malignant neoplasm of oropharynx,CD,149.1,1056
146.0,Malignant neoplasm of tonsil,CD,149.1,46512
146.1,Malignant neoplasm of tonsillar fossa,CD,149.1,1396
146.2,Malignant neoplasm of tonsillar pillars (anterior) (posterior),CD,149.1,529
146.3,Malignant neoplasm of vallecula epiglottica,CD,149.1,267
146.4,Malignant neoplasm of anterior aspect of epiglottis,CD,149.1,80
146.5,Malignant neoplasm of junctional region of oropharynx,CD,149.1,14
146.6,Malignant neoplasm of lateral wall of oropharynx,CD,149.1,421
146.7,Malignant neoplasm of posterior wall of oropharynx,CD,149.1,343
146.8,Malignant neoplasm of other specified sites of oropharynx,CD,149.1,4988
146.9,"Malignant neoplasm of oropharynx, unspecified site",CD,149.1,16497
147,Malignant neoplasm of nasopharynx,CD,149.2,290
147.0,Malignant neoplasm of superior wall of nasopharynx,CD,149.2,648
147.1,Malignant neoplasm of posterior wall of nasopharynx,CD,149.2,1109
147.2,Malignant neoplasm of lateral wall of nasopharynx,CD,149.2,468
147.3,Malignant neoplasm of anterior wall of nasopharynx,CD,149.2,129
147.8,Malignant neoplasm of other specified sites of nasopharynx,CD,149.2,2030
147.9,"Malignant neoplasm of nasopharynx, unspecified site",CD,149.2,14968
148,Malignant neoplasm of hypopharynx,CD,149.3,248
148.0,Malignant neoplasm of postcricoid region of hypopharynx,CD,149.3,497
148.1,Malignant neoplasm of pyriform sinus,CD,149.3,3293
148.2,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",CD,149.3,579
148.3,Malignant neoplasm of posterior hypopharyngeal wall,CD,149.3,518
148.8,Malignant neoplasm of other specified sites of hypopharynx,CD,149.3,579
148.9,"Malignant neoplasm of hypopharynx, unspecified site",CD,149.3,4436
149,"Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx",CD,149,88
149.0,"Malignant neoplasm of pharynx, unspecified",CD,149,3444
149.1,Malignant neoplasm of waldeyer's ring,CD,149,9
149.8,Malignant neoplasm of other sites within the lip and oral cavity,CD,149,572
149.9,Malignant neoplasm of ill-defined sites within the lip and oral cavity,CD,149,3060
15,Operations on extraocular muscles,,,
15.0,Diagnostic procedures on extraocular muscles or tendons,,,
15.01,Biopsy of extraocular muscle or tendon,,,22
15.09,Other diagnostic procedures on extraocular muscles and tendons,,,
15.1,Operations on one extraocular muscle involving temporary detachment from globe,,,
15.11,Recession of one extraocular muscle,,,9503
15.12,Advancement of one extraocular muscle,,,122
15.13,Resection of one extraocular muscle,,,356
15.19,Other operations on one extraocular muscle involving temporary detachment from globe,,,6
15.2,Other operations on one extraocular muscle,,,
15.21,Lengthening procedure on one extraocular muscle,,,7
15.22,Shortening procedure on one extraocular muscle,,,18
15.29,Other operations on one extraocular muscle,,,22
15.3,"Operations on two or more extraocular muscles involving temporary detachment from globe, one or both eyes",,,4800
15.4,"Other operations on two or more extraocular muscles, one or both eyes",,,42
15.5,Transposition of extraocular muscles,,,382
15.6,Revision of extraocular muscle surgery,,,1650
15.7,Repair of injury of extraocular muscle,,,136
15.9,Other operations on extraocular muscles and tendons,,,11
150,Malignant neoplasm of esophagus,CD,150,233
150.0,Malignant neoplasm of cervical esophagus,CD,150,1211
150.1,Malignant neoplasm of thoracic esophagus,CD,150,3164
150.2,Malignant neoplasm of abdominal esophagus,CD,150,217
150.3,Malignant neoplasm of upper third of esophagus,CD,150,2568
150.4,Malignant neoplasm of middle third of esophagus,CD,150,3069
150.5,Malignant neoplasm of lower third of esophagus,CD,150,13485
150.8,Malignant neoplasm of other specified part of esophagus,CD,150,1076
150.9,"Malignant neoplasm of esophagus, unspecified site",CD,150,29904
151,Malignant neoplasm of stomach,CD,151,707
151.0,Malignant neoplasm of cardia,CD,151,20568
151.1,Malignant neoplasm of pylorus,CD,151,409
151.2,Malignant neoplasm of pyloric antrum,CD,151,1275
151.3,Malignant neoplasm of fundus of stomach,CD,151,918
151.4,Malignant neoplasm of body of stomach,CD,151,3681
151.5,"Malignant neoplasm of lesser curvature of stomach, unspecified",CD,151,232
151.6,"Malignant neoplasm of greater curvature of stomach, unspecified",CD,151,220
151.8,Malignant neoplasm of other specified sites of stomach,CD,151,1309
151.9,"Malignant neoplasm of stomach, unspecified site",CD,151,24158
152,"Malignant neoplasm of small intestine, including duodenum",CD,159.2,334
152.0,Malignant neoplasm of duodenum,CD,159.2,5731
152.1,Malignant neoplasm of jejunum,CD,159.2,1975
152.2,Malignant neoplasm of ileum,CD,159.2,503
152.3,Malignant neoplasm of Meckel's diverticulum,CD,159.2,40
152.8,Malignant neoplasm of other specified sites of small intestine,CD,159.2,152
152.9,"Malignant neoplasm of small intestine, unspecified site",CD,159.2,3089
153,Malignant neoplasm of colon,CD,153.2,851
153.0,Malignant neoplasm of hepatic flexure,CD,153.2,4902
153.1,Malignant neoplasm of transverse colon,CD,153.2,4024
153.2,Malignant neoplasm of descending colon,CD,153.2,3586
153.3,Malignant neoplasm of sigmoid colon,CD,153.2,18624
153.4,Malignant neoplasm of cecum,CD,153.2,11653
153.5,Malignant neoplasm of appendix vermiformis,CD,153.2,6566
153.6,Malignant neoplasm of ascending colon,CD,153.2,8395
153.7,Malignant neoplasm of splenic flexure,CD,153.2,1500
153.8,Malignant neoplasm of other specified sites of large intestine,CD,153.2,951
153.9,"Malignant neoplasm of colon, unspecified site",CD,153.2,146011
154,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",CD,153.3,2225
154.0,Malignant neoplasm of rectosigmoid junction,CD,153.3,16610
154.1,Malignant neoplasm of rectum,CD,153.3,91499
154.2,Malignant neoplasm of anal canal,CD,153.3,5859
154.3,"Malignant neoplasm of anus, unspecified site",CD,153.3,14433
154.8,"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",CD,153,2048
155,Malignant neoplasm of liver and intrahepatic bile ducts,CD,155,1893
155.0,"Malignant neoplasm of liver, primary",CD,155.1,55159
155.1,Malignant neoplasm of intrahepatic bile ducts,CD,155,15694
155.2,"Malignant neoplasm of liver, not specified as primary or secondary",CD,155,3592
156,Malignant neoplasm of gallbladder and extrahepatic bile ducts,CD,159.3,202
156.0,Malignant neoplasm of gallbladder,CD,159.3,7941
156.1,Malignant neoplasm of extrahepatic bile ducts,CD,159.3,4451
156.2,Malignant neoplasm of ampulla of vater,CD,159.3,5558
156.8,Malignant neoplasm of other specified sites of gallbladder and extrahepatic bile ducts,CD,159.3,1828
156.9,"Malignant neoplasm of biliary tract, part unspecified site",CD,159.3,10332
157,Malignant neoplasm of pancreas,CD,157,1394
157.0,Malignant neoplasm of head of pancreas,CD,157,47493
157.1,Malignant neoplasm of body of pancreas,CD,157,7728
157.2,Malignant neoplasm of tail of pancreas,CD,157,5931
157.3,Malignant neoplasm of pancreatic duct,CD,157,991
157.4,Malignant neoplasm of islets of langerhans,CD,157,7295
157.8,Malignant neoplasm of other specified sites of pancreas,CD,157,1726
157.9,"Malignant neoplasm of pancreas, part unspecified",CD,157,67139
158,Malignant neoplasm of retroperitoneum and peritoneum,CD,159.4,540
158.0,Malignant neoplasm of retroperitoneum,CD,159.4,7692
158.8,Malignant neoplasm of specified parts of peritoneum,CD,159.4,1675
158.9,"Malignant neoplasm of peritoneum, unspecified",CD,159.4,3117
159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,CD,159,64
159.0,"Malignant neoplasm of intestinal tract, part unspecified",CD,153.2,353
159.1,"Malignant neoplasm of spleen, not elsewhere classified",CD,159,251
159.8,Malignant neoplasm of other sites of digestive system and intra-abdominal organs,CD,159,81
159.9,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum,CD,159,466
16,Operations on orbit and eyeball,,,
16.0,Orbitotomy,,,
16.01,Orbitotomy with bone flap,,,151
16.02,Orbitotomy with insertion of orbital implant,,,61
16.09,Other orbitotomy,,,1072
16.1,"Removal of penetrating foreign body from eye, not otherwise specified",,,118
16.2,Diagnostic procedures on orbit and eyeball,,,
16.21,Ophthalmoscopy,,,1160
16.22,Diagnostic aspiration of orbit,,,23
16.23,Biopsy of eyeball and orbit,,,319
16.29,Other diagnostic procedures on orbit and eyeball,,,2
16.3,Evisceration of eyeball,,,
16.31,Removal of ocular contents with synchronous implant into scleral shell,,,77
16.39,Other evisceration of eyeball,,,24
16.4,Enucleation of eyeball,,,
16.41,Enucleation of eyeball with synchronous implant into Tenon's capsule with attachment of muscles,,,529
16.42,Enucleation of eyeball with other synchronous implant,,,100
16.49,Other enucleation of eyeball,,,101
16.5,Exenteration of orbital contents,,,
16.51,Exenteration of orbit with removal of adjacent structures,,,125
16.52,Exenteration of orbit with therapeutic removal of orbital bone,,,44
16.59,Other exenteration of orbit,,,102
16.6,Secondary procedures after removal of eyeball,,,
16.61,Secondary insertion of ocular implant,,,110
16.62,Revision and reinsertion of ocular implant,,,146
16.63,Revision of enucleation socket with graft,,,43
16.64,Other revision of enucleation socket,,,5
16.65,Secondary graft to exenteration cavity,,,3
16.66,Other revision of exenteration cavity,,,
16.69,Other secondary procedures after removal of eyeball,,,119
16.7,Removal of ocular or orbital implant,,,
16.71,Removal of ocular implant,,,111
16.72,Removal of orbital implant,,,99
16.8,Repair of injury of eyeball and orbit,,,
16.81,Repair of wound of orbit,,,29
16.82,Repair of rupture of eyeball,,,68
16.89,Other repair of injury of eyeball or orbit,,,126
16.9,Other operations on orbit and eyeball,,,
16.91,Retrobulbar injection of therapeutic agent,,,336
16.92,Excision of lesion of orbit,,,966
16.93,"Excision of lesion of eye, unspecified structure",,,10
16.98,Other operations on orbit,,,197
16.99,Other operations on eyeball,,,119
160,"Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses",CD,149.9,235
160.0,Malignant neoplasm of nasal cavities,CD,149.9,11606
160.1,"Malignant neoplasm of auditory tube, middle ear, and mastoid air cells",CD,149.9,406
160.2,Malignant neoplasm of maxillary sinus,CD,149.9,5625
160.3,Malignant neoplasm of ethmoidal sinus,CD,149.9,2020
160.4,Malignant neoplasm of frontal sinus,CD,149.9,140
160.5,Malignant neoplasm of sphenoidal sinus,CD,149.9,428
160.8,Malignant neoplasm of other accessory sinuses,CD,149.9,1147
160.9,"Malignant neoplasm of accessory sinus, unspecified",CD,149.9,2517
161,Malignant neoplasm of larynx,CD,149.4,292
161.0,Malignant neoplasm of glottis,CD,149.4,15361
161.1,Malignant neoplasm of supraglottis,CD,149.4,18208
161.2,Malignant neoplasm of subglottis,CD,149.4,897
161.3,Malignant neoplasm of laryngeal cartilages,CD,149.4,590
161.8,Malignant neoplasm of other specified sites of larynx,CD,149.4,2356
161.9,"Malignant neoplasm of larynx, unspecified",CD,149.4,35724
162,"Malignant neoplasm of trachea, bronchus, and lung",CD,165.1,1599
162.0,Malignant neoplasm of trachea,CD,165.1,2379
162.2,Malignant neoplasm of main bronchus,CD,165.1,16206
162.3,"Malignant neoplasm of upper lobe, bronchus or lung",CD,165.1,80358
162.4,"Malignant neoplasm of middle lobe, bronchus or lung",CD,165.1,7366
162.5,"Malignant neoplasm of lower lobe, bronchus or lung",CD,165.1,36921
162.8,Malignant neoplasm of other parts of bronchus or lung,CD,165.1,13783
162.9,"Malignant neoplasm of bronchus and lung, unspecified",CD,165.1,333281
163,Malignant neoplasm of pleura,CD,165,3798
163.0,Malignant neoplasm of parietal pleura,CD,165,850
163.1,Malignant neoplasm of visceral pleura,CD,165,109
163.8,Malignant neoplasm of other specified sites of pleura,CD,165,263
163.9,"Malignant neoplasm of pleura, unspecified",CD,165,5247
164,"Malignant neoplasm of thymus, heart, and mediastinum",CD,164,147
164.0,Malignant neoplasm of thymus,CD,164,4530
164.1,Malignant neoplasm of heart,CD,164,446
164.2,Malignant neoplasm of anterior mediastinum,CD,164,684
164.3,Malignant neoplasm of posterior mediastinum,CD,164,581
164.8,Malignant neoplasm of other parts of mediastinum,CD,164,346
164.9,"Malignant neoplasm of mediastinum, part unspecified",CD,164,2324
165,Malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs,CD,165,29
165.0,"Malignant neoplasm of upper respiratory tract, part unspecified",CD,165,54
165.8,Malignant neoplasm of other sites within the respiratory system and intrathoracic organs,CD,165,11
165.9,Malignant neoplasm of ill-defined sites within the respiratory system,CD,165,102
17,Other miscellaneous procedures,,,
17.1,Laparoscopic unilateral repair of inguinal hernia,,,
17.11,Laparoscopic repair of direct inguinal hernia with graft or prosthesis,,,122
17.12,Laparoscopic repair of indirect inguinal hernia with graft or prosthesis,,,137
17.13,"Laparoscopic repair of inguinal hernia with graft or prosthesis, not otherwise specified",,,43
17.2,Laparoscopic bilateral repair of inguinal hernia,,,
17.21,Laparoscopic bilateral repair of direct inguinal hernia with graft or prosthesis,,,72
17.22,Laparoscopic bilateral repair of indirect inguinal hernia with graft or prosthesis,,,66
17.23,"Laparoscopic bilateral repair of inguinal hernia, one direct and one indirect, with graft or prosthesis",,,107
17.24,"Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified",,,35
17.3,Laparoscopic partial excision of large intestine,,,
17.31,Laparoscopic multiple segmental resection of large intestine,,,4
17.32,Laparoscopic cecectomy,,,110
17.33,Laparoscopic right hemicolectomy,,,830
17.34,Laparoscopic resection of transverse colon,,,28
17.35,Laparoscopic left hemicolectomy,,,140
17.36,Laparoscopic sigmoidectomy,,,480
17.39,Other laparoscopic partial excision of large intestine,,,35
17.4,Robotic assisted procedures,,,
17.41,Open robotic assisted procedure,,,172
17.42,Laparoscopic robotic assisted procedure,,,9636
17.43,Percutaneous robotic assisted procedure,,,2
17.44,Endoscopic robotic assisted procedure,,,44
17.45,Thoracoscopic robotic assisted procedure,,,8
17.49,Other and unspecified robotic assisted procedure,,,156
17.5,Additional cardiovascular procedures,,,
17.51,"Implantation of rechargeable cardiac contractility modulation [CCM], total system",,,
17.52,Implantation or replacement of cardiac contractility modulation [CCM] rechargeable pulse generator only,,,
17.53,Percutaneous atherectomy of extracranial vessel(s),,,18
17.54,Percutaneous atherectomy of intracranial vessel(s),,,2
17.55,Transluminal coronary atherectomy,,,506
17.56,Atherectomy of other non-coronary vessel(s),,,77
17.6,Laser interstitial thermal therapy [LITT] under guidance,,,
17.61,Laser interstitial thermal therapy [LITT] of lesion or tissue of brain under guidance,,,4
17.62,Laser interstitial thermal therapy [LITT] of lesion or tissue of head and neck under guidance,,,
